jəə,เจอ
jəə gan prûng níi,เจอกันพรุ่งนี้
pǒm jəə pûan tîi mɔɔ chɔɔ,ผมเจอเพื่อที่มช.
prûng níi jəə gan tîi nǎi ?,พรุ่งนี้เจอกันที่ไหน?
mâi kɔ̂ɔi,ไม่ค่อย
aa hǎan mâi kɔ̂ɔi pèt,อาหารไม่ค่อยเผ็ด
Chiang mài mâi kɔ̂ɔi rɔ́ɔn,เชียงใหม่ไม่ค่อยร้อน
káo mâi kɔ̂ɔi sa baai,เขาไม่ค่อยสบาย
bâang,บ้าง
kun chɔ̂ɔp gin a rai bâang ?,คุณชอบกินอะไรบ้าง?
kun tam a rai bâang mûa waan níi ?,คุณทำอะไรบ้างเมื่อวานนี้
kun chɔ̂ɔp bpai tiâw tîi nǎi bâang ?,คุณชอบไปเที่ยวที่ไหนบ้าง
yùu,อยู่
mɔɔ chɔɔ yùu dtìt gàp dɔɔi,มช. อยู่ติดกับดอย
dtɔɔn cháao pǒm yùu tîi bâan,ตอนเช้าผมอยู่ที่บ้าน
dtɔɔn cháao pǒm yùu tîi bâan,ตอนเช้าผมอยู่ที่บ้าน
pǒm jà yùu tîi Chiang Mai 2 bpii,ผมจะอยู่ที่เชียงใหม่ 2 ปี
bpai taang nǎi?,ไปทางไหน ?
sa nǎam bin bprà maan 3 gi loo,สนามบินประมาณ 3 กิโล
bprà maan 50 mét tʉ̌ng sǎam yâek,ประมาณ 50 เมตรถึงสามแยก
liáw sáai lá gɔ̂ɔ dəən bprà maan 4 gi loo,เลี้ยวซ้ายละก็เดินประมาณ 4 กิโล
pǒm bpai hǎa pûan tîi ráan gaa fae,ผมไปหาเพื่อนที่ร้านกาแฟ
káo yàak bpai hǎa faen,เขาอยากไปหาแฟน
káo bpai hǎa mɔ̌ɔ,เขาไปหาหมอ
pǒm mii pûan lǎai kon,ผมมีเพื่อนหลายคน
lǎai,หลาย
káo tam ngaan tîi mʉang Thai lǎai bpii,เขาทำงานที่เมื่องไทยหลายปี
káo chɔ̂ɔp dùum gaa fae,เขาชอบดื่มกาแฟ
glàp,กลับ
kun glàp bâan mûa rài,คุณกลับบ้านเมื่อไหร่
káo glàp America aa tít nâa,เขากลับอเมริกาอาทิตย์หน้า
pǒm glàp hɔ̂ɔng dtɔɔn cháao,ผมกลับห้องตอนเช้า
ìik,อีก
pǒm jà bpai tiâw ìik 2 wan,ผมจะไปเที่ยวอีก 2 วัน
ìik 3 dʉan káo jà dtàeng ngaan,อีก 3 เดือนเขาจะแต่งงาน
kɔ̌ɔ bia ìik 10 kùat,ขอเบียร์อีก 3 ขวด
bpà gà dtì (usually),ปกติ
bpà gà dtì káo bpai wát túk wan,ปกติเขาไปวันทุกวัน
bpà gà dtì káo tam ngaan dtɔɔn yen,ปกติเขาทำงานตอนเย็น
bpà gà dtì káo dùum gaa fae dam,ปกติเขาดื่มกาแฟดำ
bpai sòng,ไปส่ง
káo bpai sòng faen tîi sa nǎam bin,เขาไปส่งแฟนที่สนามบิน
pǒm bpai sòng kun mái,ผมไปส่งคุณไหม
káo bpai sòng pûan hòk moong yen,เขาไปส่งเพื่อน 6 โมงเย็น
bpai ráp,ไปรับ
káo bpai ráp faen tîi bâan,เขาไปรับแฟนที่บ้าน
pǒm bpai ráp pûan bàai 2 moong,ผมไปรับเพื่อนบ่าย 2 โมง
sèt,เสร็จ
roong rian sèt bàai 4 moong,โรงเรียนเสร็จบ่าย 4 โมง
pǒm tam ngaan sèt 5 moong yen,ผมทำงานเสร็จ 5 โมง
sèt láew,เสร็จแล้ว
wâang,ว่าง
wan níi pǒm mâi wâang,วันนี้ผมไม่ว่าง
hɔ̂ɔng náam mâi wâang,ห้องน้ำไม่ว่าง
kun mii hɔ̂ɔng wâang mái?,คุณมีห้องว่างไหม
tâa,ถ้า
tâa pǒm mii weh laa pǒm yàak duu nǎng,ถ้าผมมีเวลาผมอยากดูหนัง
lá,ละ
faen rɔ́ɔng pleng wan lá lǎai kráng,แฟนร้องเพลงวันละหลายครั้ง
pǒm dùʉm gaa fae wan lá 3 gaêw,ผมดื่มกาแฟวันละ3แก้ว
sa mə̌ə sa mə̌ə,เสมอเสมอ
pǒm kít tʉ̌ng kun sà mə̌ə sà mə̌ə,ผมคิดถึงคุณเสมอเสมอ
pǒm rák kun sà mə̌ə sà mə̌ə,ผมคิดถึงรักคุณเสมอเสมอ
bɔ̀ɔi bɔ̀ɔi,บ่อยบ่อย
káo tam sǔan bɔ̀ɔi bɔ̀ɔi,เขาทำสวนบ่อยบ่อย
rao bpai Monkey Club bɔ̀ɔi bɔ̀ɔi,เราไปMonkey Club บ่อยบ่อย
baang kráng,บางครั้ง
pǒm kìi jàk grà yaan baang kráng,ผมขี่จักรยานบางครั้ง
baang kráng káo duu nǎng gàp pûan,บางครั้งเขาดูหนังกับเพื่อน
